ID State,State,ID Year,Year,Population,Slug State
04000US48,Texas,2014,2014,26956958,texas
04000US49,Utah,2014,2014,2942902,utah
04000US50,Vermont,2014,2014,626562,vermont
04000US51,Virginia,2014,2014,8326289,virginia
04000US53,Washington,2014,2014,7061530,washington
04000US54,West Virginia,2014,2014,1850326,west-virginia
04000US55,Wisconsin,2014,2014,5757564,wisconsin
04000US56,Wyoming,2014,2014,584153,wyoming
04000US72,Puerto Rico,2014,2014,3548397,puerto-rico
04000US01,Alabama,2013,2013,4833722,alabama
04000US02,Alaska,2013,2013,735132,alaska
04000US04,Arizona,2013,2013,6626624,arizona
04000US05,Arkansas,2013,2013,2959373,arkansas
04000US06,California,2013,2013,38332521,california
04000US08,Colorado,2013,2013,5268367,colorado
04000US09,Connecticut,2013,2013,3596080,connecticut
04000US10,Delaware,2013,2013,925749,delaware
04000US11,District of Columbia,2013,2013,646449,district-of-columbia
04000US12,Florida,2013,2013,19552860,florida
04000US13,Georgia,2013,2013,9992167,georgia
04000US15,Hawaii,2013,2013,1404054,hawaii
04000US16,Idaho,2013,2013,1612136,idaho
04000US17,Illinois,2013,2013,12882135,illinois
04000US18,Indiana,2013,2013,6570902,indiana
04000US19,Iowa,2013,2013,3090416,iowa
04000US20,Kansas,2013,2013,2893957,kansas
04000US21,Kentucky,2013,2013,4395295,kentucky
04000US22,Louisiana,2013,2013,4625470,louisiana
04000US23,Maine,2013,2013,1328302,maine
04000US24,Maryland,2013,2013,5928814,maryland
04000US25,Massachusetts,2013,2013,6692824,massachusetts
04000US26,Michigan,2013,2013,9895622,michigan
04000US27,Minnesota,2013,2013,5420380,minnesota
04000US28,Mississippi,2013,2013,2991207,mississippi
04000US29,Missouri,2013,2013,6044171,missouri
04000US30,Montana,2013,2013,1015165,montana
04000US31,Nebraska,2013,2013,1868516,nebraska
04000US32,Nevada,2013,2013,2790136,nevada
04000US33,New Hampshire,2013,2013,1323459,new-hampshire
04000US34,New Jersey,2013,2013,8899339,new-jersey
04000US35,New Mexico,2013,2013,2085287,new-mexico
04000US36,New York,2013,2013,19651127,new-york
04000US37,North Carolina,2013,2013,9848060,north-carolina
04000US38,North Dakota,2013,2013,723393,north-dakota
04000US39,Ohio,2013,2013,11570808,ohio
04000US40,Oklahoma,2013,2013,3850568,oklahoma
04000US41,Oregon,2013,2013,3930065,oregon
04000US42,Pennsylvania,2013,2013,12773801,pennsylvania
04000US44,Rhode Island,2013,2013,1051511,rhode-island
04000US45,South Carolina,2013,2013,4774839,south-carolina
04000US46,South Dakota,2013,2013,844877,south-dakota
04000US47,Tennessee,2013,2013,6495978,tennessee
04000US48,Texas,2013,2013,26448193,texas
04000US49,Utah,2013,2013,2900872,utah
04000US50,Vermont,2013,2013,626630,vermont
04000US51,Virginia,2013,2013,8260405,virginia
04000US53,Washington,2013,2013,6971406,washington
04000US54,West Virginia,2013,2013,1854304,west-virginia
04000US55,Wisconsin,2013,2013,5742713,wisconsin
04000US56,Wyoming,2013,2013,582658,wyoming
04000US72,Puerto Rico,2013,2013,3615086,puerto-rico
